id,park_code,name,full_name,designation,description,street,city,state,zipcode,lat_long,url
A0B4CA5E-608A-4DF2-8EFB-E2E4619EA243,amme,American Memorial,American Memorial Park,Park,"American Memorial Park honors the American and Marianas people who gave their lives during the Marianas Campaign of World War II. At the park, memorials stand in tribute to the courage and sacrifice of the US Servicemen and Chamorro and Carolinian civilians who were killed in the battles between the United States and Japan that took place on Saipan, Tinian, and the Philippine Sea in 1944.",Beach Road,Saipan,MP,96950,"lat:15.21680033, long:145.7231096",https://www.nps.gov/amme/index.htm
34CB30BA-8A5F-4563-AA34-6633708DD9DC,amis,Amistad,Amistad National Recreation Area,National Recreation Area,"An oasis in the desert, Amistad National Recreation Area consists of the US portion of the International Amistad Reservoir. Amistad, whose name comes from the Spanish word meaning friendship, is best known for excellent water-based recreation, camping, hiking, rock art viewing, and its rich cultural history. Amistad is also home to a wide variety of plant and animal life above and below the water.",10477 Highway 90 West,Del Rio,TX,78840,"lat:29.53539777, long:-101.075821",https://www.nps.gov/amis/index.htm
9463E25C-7342-4A34-9537-4A6DA74B2B06,anac,Anacostia,Anacostia Park,Park,"Welcome to Anacostia Park, your neighborhood national park in the heart of Washington, DC! Enjoy exercise along the river trail or relax by the water, Anacostia Park is a breath of fresh air and a space to unwind amid a bustling city.","1900 Anacostia Drive, S.E.",Washington,DC,20020,"lat:38.89644397, long:-76.96314236",https://www.nps.gov/anac/index.htm
00E65872-53F7-4C9B-BD29-B9BC99930D0D,ande,Andersonville,Andersonville National Historic Site,National Historic Site,"The Camp Sumter military prison at Andersonville was one of the largest Confederate military prisons during the Civil War. During the 14 months the prison existed, more than 45,000 Union soldiers were confined here. Of these, almost 13,000 died here. Today, Andersonville National Historic Site is a memorial to all American prisoners of war throughout the nation's history.",Andersonville National Cemetery,Andersonville,GA,31711,"lat:32.19831758, long:-84.12988898",https://www.nps.gov/ande/index.htm
2ED6E071-57AA-4B08-8DDA-5CB09FBB75C8,anjo,Andrew Johnson,Andrew Johnson National Historic Site,National Historic Site,"Andrew Johnson's complex presidency (1865-69) illustrates the Constitution at work following the Civil War. As the President and Congress disagreed on Reconstruction methods, the Constitution served as their guide on balance of powers, vetoes, and impeachment. In the end, it evolved as a living document with pivotal amendments on freedom, citizenship, and voting rights - topics still vital today.",Andrew Johnson NHS,Greeneville,TN,37743,"lat:36.15624509, long:-82.83709021",https://www.nps.gov/anjo/index.htm
7FF37F14-88C8-469E-A447-ACE6D9AF44D2,ania,Aniakchak,Aniakchak National Monument & Preserve,National Monument & Preserve,"Given its remote location and challenging weather conditions, Aniakchak is one of the most wild and least visited places in the National Park System. This landscape is a vibrant reminder of Alaska's location in the volcanically active ""Ring of Fire,"" as it is home to an impressive six mile (10 km) wide, 2,500 ft (762 m) deep caldera formed during a massive volcanic eruption 3,500 years ago.","1000 Silver St., Bldg. 603",KIng Salmon,AK,99613,"lat:56.85317675, long:-157.5544362",https://www.nps.gov/ania/index.htm
8415526C-C932-4236-A634-2D89DF718936,anti,Antietam,Antietam National Battlefield,National Battlefield,"23,000 soldiers were killed, wounded or missing after twelve hours of savage combat on September 17, 1862. The Battle of Antietam ended the Confederate Army of Northern Virginia's first invasion into the North and led Abraham Lincoln to issue the preliminary Emancipation Proclamation.",5831 Dunker Church Rd.,Sharpsburg,MD,21782,"lat:39.46763452, long:-77.73828017",https://www.nps.gov/anti/index.htm
D84122DD-1B0E-4D13-927C-5D6D2A0D200E,apis,Apostle Islands,Apostle Islands National Lakeshore,National Lakeshore,"Imagine that moment, being in that perfect spot as the sun rises, and everything comes into focus. A rocky shoreline suddenly reflects the world around you. Waiting for you among the water, land, forests, and history is that moment. How will the islands inspire you?",415 Washington Avenue,Bayfield,WI,54814,"lat:46.96240467, long:-90.66045665",https://www.nps.gov/apis/index.htm
FAEF5684-83A4-4CF2-A701-60CF8D4014BD,appa,Appalachian,Appalachian National Scenic Trail,National Scenic Trail,"The Appalachian Trail is a 2,180+ mile long public footpath that traverses the scenic, wooded, pastoral, wild, and culturally resonant lands of the Appalachian Mountains. Conceived in 1921, built by private citizens, and completed in 1937, today the trail is managed by the National Park Service, US Forest Service, Appalachian Trail Conservancy, numerous state agencies and thousands of volunteers.",Appalachian Trail Park Office,Harpers Ferry,WV,25425,"lat:40.41029575, long:-76.4337548",https://www.nps.gov/appa/index.htm
16CCCC56-1DC1-47D6-AE91-E939955BFC53,apco,Appomattox Court House,Appomattox Court House National Historical Park,National Historical Park,"On April 9, 1865, the surrender of the Army of Northern Virginia in the McLean House in the village of Appomattox Court House, Virginia signaled the end of the nation's largest war. Two important questions about its future were answered. Could the nation survive a civil war intact, and would that nation exist without slavery? The answer to both was yes and a new nation was born.",Appomattox Court House National Historical Park,Appomattox,VA,24522,"lat:37.38022164, long:-78.79856982",https://www.nps.gov/apco/index.htm
EDF06DE3-0951-4CF1-A3DE-723E60BED6F9,armo,Arabia Mountain,Arabia Mountain National Heritage Area,National Heritage Area,"For millions of years, granite monadnocks have stood watch over the rivers and forests of Georgia. These breathtaking landscapes are the cornerstones of the Arabia Mountain National Heritage Area, which serves to protect & promote these outcrops and the surrounding region as a recreational wonder and national treasure.",Arabia Mountain National Heritage Area,Lithonia,GA,30038,"lat:33.6085739135742, long:-84.1584930419922",https://www.nps.gov/armo/index.htm
36240051-018E-4915-B6EA-3F1A7F24FBE4,arch,Arches,Arches National Park,National Park,"Visit Arches to discover a landscape of contrasting colors, land forms and textures unlike any other in the world. The park has over 2,000 natural stone arches, in addition to hundreds of soaring pinnacles, massive fins and giant balanced rocks. This red-rock wonderland will amaze you with its formations, refresh you with its trails, and inspire you with its sunsets.","5 Miles north of Moab, Utah, on US 191",Moab,UT,84532,"lat:38.72261844, long:-109.5863666",https://www.nps.gov/arch/index.htm
6876F4F4-9B8F-4648-89EA-C1BBF770C494,arpo,Arkansas Post,Arkansas Post National Memorial,National Memorial,"Located at the confluence of two rivers, Arkansas Post has served as a gathering place for many cultures throughout human history - it represents cultural cooperation, conflict, synthesis, and diversity.",1741 Old Post Road,Gillett,AR,72055,"lat:34.00389998, long:-91.30837178",https://www.nps.gov/arpo/index.htm
E84B1E08-CCE8-4FFF-8DB6-B92F40953225,arho,"Arlington House, The Robert E. Lee Memorial","Arlington House, The Robert E. Lee Memorial",,"Arlington House is the nation’s memorial to Robert E. Lee. It honors him for specific reasons, including his role in promoting peace and reunion after the Civil War. In a larger sense it exists as a place of study and contemplation of the meaning of some of the most difficult aspects of American History: military service; sacrifice; citizenship; duty; loyalty; slavery and freedom.","Arlington House, The Robert E. Lee Memorial",Arlington,VA,22211,"lat:38.8822021484375, long:-77.0734786987305",https://www.nps.gov/arho/index.htm
307BE169-345D-472C-8128-20F1D59864A7,asis,Assateague Island,Assateague Island National Seashore,National Seashore,"Want to live on the edge? Visit a place recreated each day by ocean wind and waves. Life on Assateague Island has adapted to an existence on the move. Explore sandy beaches, salt marshes, maritime forests and coastal bays. Rest, relax, recreate and enjoy some time on the edge of the continent.",7206 National Seashore Lane,Berlin,MD,21811,"lat:38.05593172, long:-75.24524611",https://www.nps.gov/asis/index.htm
22B8BA4E-3EED-4F41-88A2-A529114B6859,attr,Atchafalaya,Atchafalaya National Heritage Area,National Heritage Area,"Our country’s landscape is rich and mysterious. It is filled with twisting bayous, rivers and America’s largest river swamp. We have fields of sugar cane and cotton, ancient live oaks and towering cypress. Alligators, raccoons, and even bears roam our lands while 270 species of birds take to our skies. From our waters come catfish, shrimp, oysters and the crawfish that make us so well known.",I-10 Atchafalaya Welcome Center,Butte La Rose,LA,70517,"lat:30.2919769287109, long:-91.5019378662109",https://www.nps.gov/attr/index.htm
813548D1-F8EA-4C07-8878-17FB3C385378,auca,Augusta Canal,Augusta Canal National Heritage Area,National Heritage Area,"The Augusta Canal helped usher the Industrial Revolution into the American South. Built in 1845 as a source of power, water, and transportation, the canal today is the only fully intact American industrial canal in continuous operation. By 1847 the first mills opened, followed by the massive Civil War era Confederate Powder Works and many more industries in the later decades of the 19th century.",Augusta Canal National Heritage Area,Augusta,GA,30901,"lat:33.5099067687988, long:-82.0053787231445",https://www.nps.gov/auca/index.htm
CD54150B-24F6-4B96-8D6F-B23AF92A70F2,azru,Aztec Ruins,Aztec Ruins National Monument,National Monument,Pueblo people describe this site as part of their migration journey. Today you can follow their ancient passageways to a distant time. Explore a 900-year old ancestral Pueblo Great House of over 400 masonry rooms. Look up and see original timbers holding up the roof. Search for the fingerprints of ancient workers in the mortar. Listen for an echo of ritual drums in the reconstructed Great Kiva.,725 Ruins Road,Aztec,NM,87410,"lat:36.83682216, long:-107.9999245",https://www.nps.gov/azru/index.htm
B170CCF7-7AB9-48FF-950E-31815FD4DBB2,badl,Badlands,Badlands National Park,National Park,"The rugged beauty of the Badlands draws visitors from around the world. These striking geologic deposits contain one of the world’s richest fossil beds. Ancient horses and rhinos once roamed here. The park’s 244,000 acres protect an expanse of mixed-grass prairie where bison, bighorn sheep, prairie dogs, and black-footed ferrets live today.",25216 Ben Reifel Road,Interior,SD,57750,"lat:43.68584846, long:-102.482942",https://www.nps.gov/badl/index.htm
35C584AF-5849-4152-8248-2E61993289C2,balt,Baltimore,Baltimore National Heritage Area,National Heritage Area,"For nearly three centuries, Baltimore has stood as a center of commerce and culture for the Chesapeake Bay. The city has seen the incredible transformation of American identity, shaped by war, prosperity, and struggles for freedom and civil rights. Visit the Baltimore National Heritage Area to experience the places and people that shaped the nation and forged the American identity.","12 W. Madison St., Ste 120",Baltimore,MD,21201,"lat:39.2904968261719, long:-76.6284027099609",https://www.nps.gov/balt/index.htm
A21F01BC-9E47-4DBE-8655-A1651FC2C1B1,bawa,Baltimore-Washington,Baltimore-Washington Parkway,Parkway,"This 29-mile highway connects Baltimore, MD and Washington, D.C. The parkway has carried visitors to and from the capital city since 1954.",Baltimore Washington Parkway,Greenbelt,MD,20770,"lat:39.02604289, long:-76.85410921",https://www.nps.gov/bawa/index.htm
E28CA30C-2D81-4394-81E9-67677C412115,band,Bandelier,Bandelier National Monument,National Monument,"Bandelier National Monument protects over 33,000 acres of rugged but beautiful canyon and mesa country as well as evidence of a human presence here going back over 11,000 years. Petroglyphs, dwellings carved into the soft rock cliffs, and standing masonry walls pay tribute to the early days of a culture that still survives in the surrounding communities.",Bandelier National Monument,Los Alamos,NM,87544,"lat:35.77898596, long:-106.3317124",https://www.nps.gov/band/index.htm
E7E4E103-5FA9-45AC-8843-05DE554CDBB7,bepa,Belmont-Paul Women's Equality,Belmont-Paul Women's Equality National Monument,National Monument,"Home to the National Woman's Party for more than 90 years, this was the epicenter of the struggle for women's rights. From this house in the shadow of the U.S. Capitol and Supreme Court, Alice Paul and the NWP developed innovative strategies and tactics to advocate for the Equal Rights Amendment and equality for women. President Barack Obama designated the national monument on April 12, 2016.",144 Constitution Ave NE,Washington,DC,20002,"lat:38.89231541, long:-77.00381882",https://www.nps.gov/bepa/index.htm
87F9EFC7-1951-4250-A367-644EC5C4E6A2,beol,Bent's Old Fort,Bent's Old Fort National Historic Site,National Historic Site,"Bent's Old Fort National Historic Site features a reconstructed 1840s adobe fur trading post on the mountain branch of the Santa Fe Trail where traders, trappers, travelers, and the Cheyenne and Arapaho tribes came together in peaceful terms for trade. Today, living historians recreate the sights, sounds, and smells of the past with guided tours, demonstrations and special events.",35110 State Highway 194 E.,La Junta,CO,81050,"lat:38.03977546, long:-103.4266499",https://www.nps.gov/beol/index.htm
EE1F4878-00FB-4760-A77F-EA76DB8DEFD9,bela,Bering Land Bridge,Bering Land Bridge National Preserve,National Preserve,Bering Land Bridge National Preserve lies at the continental crossroads that greatly influenced the distribution of life in the Western Hemisphere during the Pleistocene Epoch. It is a vital landscape for indigenous communities who depend on the land just as their ancestors did for many generations. It is a wild and ecologically healthy landscape unlike any other.,214 Front St.,Nome,AK,99762,"lat:65.96087902, long:-164.4086432",https://www.nps.gov/bela/index.htm
C9056F71-7162-4208-8AE9-2D0AEFA594FD,bibe,Big Bend,Big Bend National Park,National Park,"There is a place in Far West Texas where night skies are dark as coal and rivers carve temple-like canyons in ancient limestone. Here, at the end of the road, hundreds of bird species take refuge in a solitary mountain range surrounded by weather-beaten desert. Tenacious cactus bloom in sublime southwestern sun, and diversity of species is the best in the country. This magical place is Big Bend...",1 Panther Junction,Big Bend National Park,TX,79834,"lat:29.29817767, long:-103.2297897",https://www.nps.gov/bibe/index.htm
E0F4D5E3-3E4A-4345-B86A-1B0CAD7461F1,bicy,Big Cypress,Big Cypress National Preserve,National Preserve,"The freshwaters of the Big Cypress Swamp, essential to the health of the neighboring Everglades, support the rich marine estuaries along Florida's southwest coast. Protecting over 729,000 acres of this vast swamp, Big Cypress National Preserve contains a mixture of tropical and temperate plant communities that are home to a diversity of wildlife, including the elusive Florida panther.",33100 Tamiami Trail East,Ochopee,FL,34141,"lat:25.97079602, long:-81.08120629",https://www.nps.gov/bicy/index.htm
3262234F-A56A-447D-AE6C-F5C734ABD3A4,biho,Big Hole,Big Hole National Battlefield,National Battlefield,"On August 9, 1877 gun shots shattered a chilly dawn on a sleeping camp of Nez Perce. By the time the smoke cleared on August 10, almost 90 Nez Perce were dead along with 31 soldiers and volunteers. Big Hole National Battlefield was created to honor all who were there.",16425 Highway 43 West,Wisdom,MT,59761,"lat:45.64647324, long:-113.6458443",https://www.nps.gov/biho/index.htm
61EC5C9A-1A38-4040-AE38-E62FD2A9A836,biso,Big South Fork,Big South Fork National River & Recreation Area,National River & Recreation Area,"Encompassing 125,000 acres of the Cumberland Plateau, Big South Fork National River and Recreation Area protects the free-flowing Big South Fork of the Cumberland River and its tributaries. The area boasts miles of scenic gorges and sandstone bluffs, is rich with natural and historic features and has been developed to provide visitors with a wide range of outdoor recreational activities.",4564 Leatherwood Road,Oneida,TN,37841,"lat:36.5348388, long:-84.66506688",https://www.nps.gov/biso/index.htm
3AA12AD8-4FEB-491D-AEB2-CC0F74CD00E0,bith,Big Thicket,Big Thicket National Preserve,National Preserve,"Life of all types abounds in the Big Thicket. This national preserve protects the incredible diversity of life found where multiple habitats converge in southeast Texas. Hiking trails and waterways meander through nine different ecosystems, from longleaf pine forests to cypress-lined bayous. It is a place of discovery, a place to wander and explore, a place to marvel at the richness of nature.",6102 FM 420,Kountze,TX,77625,"lat:30.4579834310497, long:-94.3867421150208",https://www.nps.gov/bith/index.htm
7568A0D8-73B1-44E6-82C7-E10BA1872209,bica,Bighorn Canyon,Bighorn Canyon National Recreation Area,National Recreation Area,"The vast, wild landscape of Bighorn Canyon National Recreation Area offers visitors unparalleled opportunities to immerse themselves in the natural world, and experience the wonders of this extraordinary place. With over 120,000 acres, one can find an astounding diversity in ecosystems, wildlife, and more than 10,000 years of human history to explore.",Bighorn Canyon National Recreation Area South District Visitor Center,Lovell,WY,82431,"lat:45.13154227, long:-108.1443943",https://www.nps.gov/bica/index.htm
99907F85-7E09-40FE-BF5E-A9AB7F09A7E2,bicr,Birmingham Civil Rights,Birmingham Civil Rights National Monument,National Monument,"In 1963, images of snarling police dogs unleashed against non-violent protesters and of children being sprayed with high-pressure hoses appeared in print and television news around the world. These dramatic scenes of violent police aggression against civil rights protesters in Birmingham, Alabama were vivid examples of segregation and racial injustice in America.",1510 5th Ave N,Birmingham,AL,35203,"lat:33.5154266357422, long:-86.8146667480469",https://www.nps.gov/bicr/index.htm
FBF9F793-5114-4B61-A5BA-6F9ADDFDF459,bisc,Biscayne,Biscayne National Park,National Park,"Within sight of downtown Miami, yet worlds away, Biscayne protects a rare combination of aquamarine waters, emerald islands, and fish-bejeweled coral reefs. Here too is evidence of 10,000 years of human history, from pirates and shipwrecks to pineapple farmers and presidents. Outdoors enthusiasts can boat, snorkel, camp, watch wildlife…or simply relax in a rocking chair gazing out over the bay.",9700 SW 328th Street,Homestead,FL,33033,"lat:25.490587, long:-80.21023851",https://www.nps.gov/bisc/index.htm
BDBD573F-97EF-44E7-A579-471679F2C42A,blca,Black Canyon Of The Gunnison,Black Canyon Of The Gunnison National Park,National Park,"Big enough to be overwhelming, still intimate enough to feel the pulse of time, Black Canyon of the Gunnison exposes you to some of the steepest cliffs, oldest rock, and craggiest spires in North America. With two million years to work, the Gunnison River, along with the forces of weathering, has sculpted this vertical wilderness of rock, water, and sky.",South Rim Visitor Center,Montrose,CO,81401,"lat:38.57779869, long:-107.7242756",https://www.nps.gov/blca/index.htm
A36366E7-5663-4531-B0CE-D58928C6D01B,blrv,Blackstone River Valley,Blackstone River Valley National Historical Park,National Historical Park,"The Blackstone River powered America's entry into the Age of Industry. The success of Samuel Slater's cotton spinning mill in Pawtucket, RI touched off a chain reaction that changed how people worked and where they lived, and continues to reverberate across the nation to this day. Come visit and see how this revolution transformed the landscape of the Blackstone Valley and then the United States.",282 North Main Street,Providence,RI,02903,"lat:42.0985434981132, long:-71.6462543418673",https://www.nps.gov/blrv/index.htm
51554EF1-C436-434D-BFD6-A1EEB404C6D3,blrn,Blue Ridge,Blue Ridge National Heritage Area,National Heritage Area,"The Blue Ridge National Heritage Area is a place unlike any other on Earth, where ancient landscapes enchant the eye and age-old traditions warm the heart. The distinctive landscape of the North Carolina mountains and foothills combined with the region’s living traditions of craft, music, agriculture and Cherokee heritage create a wealth of natural and cultural treasures unmatched in our country.",Blue Ridge National Heritage Area,Asheville,NC,28803,"lat:37.1117477416992, long:-80.8496627807617",https://www.nps.gov/blrn/index.htm
712044CE-4C85-48C2-813E-310A9C6C74E1,blri,Blue Ridge,Blue Ridge Parkway,Parkway,"A Blue Ridge Parkway experience is unlike any other: a slow-paced and relaxing drive revealing stunning long-range vistas and close-up views of the rugged mountains and pastoral landscapes of the Appalachian Highlands. The Parkway meanders for 469 miles, protecting a diversity of plants and animals, and providing opportunities for enjoying all that makes this region of the country so special.",Milepost 384,Asheville,NC,28803,"lat:36.53386746, long:-81.0420999",https://www.nps.gov/blri/index.htm
14025CA9-91DE-4D36-B4CA-9880463C3BC2,blue,Bluestone,Bluestone National Scenic River,National Scenic River,The Bluestone River and the rugged and ancient gorge it has carved is a richly diverse and scenic area of the southern Appalachians. Bluestone National Scenic River is preserved as a living landscape that provides an unspoiled experience for visitors and a haven for a variety of plants and animals. The park protects a 10.5-mile section of the Bluestone River in southern West Virginia.,3405 Pipestem Drive,Pipestem,WV,25979,"lat:37.56577087, long:-80.98366657",https://www.nps.gov/blue/index.htm
6278FE68-139E-4758-A6DE-9A0437F777B5,bowa,Booker T Washington,Booker T Washington National Monument,National Monument,"Booker T. Washington was born a slave in April 1856 on the 207-acre farm of James Burroughs. After the Civil War, Washington became the first principal of Tuskegee Normal and Industrial School. Later as an adviser, author and orator, his past would influence his philosophies as the most influential African American of his era. Come explore his birthplace.",12130 Booker T. Washington Highway,Hardy,VA,24101,"lat:37.11520539, long:-79.73185833",https://www.nps.gov/bowa/index.htm
87F00684-8E1F-4E12-B463-2B5B929A0C74,boaf,Boston African American,Boston African American National Historic Site,National Historic Site,"Centered on the north slope of Beacon Hill, the African American community of 19th century Boston led the city and the nation in the fight against slavery and injustice. These remarkable men and women, together with their allies, were leaders in the Abolition Movement, the Underground Railroad, the Civil War, and the early struggle for equal rights and education.",15 State Street,Boston,MA,02109,"lat:42.35908295, long:-71.06764181",https://www.nps.gov/boaf/index.htm
65E0DF4A-4082-4B48-93BD-5021987CDD7A,boha,Boston Harbor Islands,Boston Harbor Islands National Recreation Area,National Recreation Area,". . . where you can walk a Civil War-era fort, visit historic lighthouses, explore tide pools, hike lush trails, camp under the stars, or relax while fishing, picnicking or swimming-all within reach of downtown Boston. Youth programs, visitor services, research, wildlife management, and more are coordinated on the park's 34 islands and peninsulas by the Boston Harbor Islands Partnership.",15 State Street,Boston,MA,02109,"lat:42.30905526, long:-70.93941138",https://www.nps.gov/boha/index.htm
81F81EBD-0FE7-4811-88EF-AB071E737D97,bost,Boston,Boston National Historical Park,National Historical Park,"Discover how one city could be the Cradle of Liberty, site of the first major battle of American Revolution, and home to many who espoused that freedom can be extended to all.",Charlestown Navy Yard,CHARLESTOWN,MA,02129,"lat:42.36957407, long:-71.05536763",https://www.nps.gov/bost/index.htm
F6555AB7-654F-4418-8827-F91F54536C04,brcr,Brices Cross Roads,Brices Cross Roads National Battlefield Site,National Battlefield Site,"The Confederate victory at Brices Cross Roads was a significant victory for Major General Nathan Bedford Forrest, but its long term effect on the war proved costly for the Confederates. Brices Cross Roads is an excellent example of winning the battle, but losing the war.",260 Bethany Rd,Guntown,MS,38849,"lat:34.50611958, long:-88.72889343",https://www.nps.gov/brcr/index.htm
E2F59F29-1F3A-43B9-A361-7E74E5FDDEB1,brvb,Brown v. Board of Education,Brown v. Board of Education National Historic Site,National Historic Site,"The story of Brown v. Board of Education, which ended legal segregation in public schools, is one of hope and courage. When the people agreed to be plaintiffs in the case, they never knew they would change history. The people who make up this story were ordinary people. They were teachers, secretaries, welders, ministers and students who simply wanted to be treated equally.",1515 SE Monroe Street,Topeka,KS,66612-1143,"lat:39.03787665, long:-95.67614437",https://www.nps.gov/brvb/index.htm
6B1D053D-714F-46D1-B410-04BE868F14C1,brca,Bryce Canyon,Bryce Canyon National Park,National Park,"Hoodoos (irregular columns of rock) exist on every continent, but here is the largest concentration found anywhere on Earth. Situated along a high plateau at the top of the Grand Staircase, the park's high elevations include numerous life communities, fantastic dark skies, and geological wonders that defy description.",Highway 63,Bryce,UT,84764,"lat:37.58399144, long:-112.1826689",https://www.nps.gov/brca/index.htm
